epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,17421.3,0.33405,0.24739,0.84972,0.96748,0.97282,0.98538,0.95021,0.2888,0.15295,0.83057,0.00404237,0.00404237,0.00404237
123,17558.2,0.3347,0.24824,0.84987,0.96668,0.9736,0.9852,0.95025,0.28898,0.15389,0.83071,0.00397568,0.00397568,0.00397568
124,17715.6,0.33142,0.24565,0.84922,0.96814,0.9735,0.98398,0.94792,0.28866,0.15425,0.83074,0.00390936,0.00390936,0.00390936
125,17852.7,0.33372,0.24659,0.85137,0.96943,0.96901,0.98384,0.94925,0.28781,0.15307,0.83038,0.00384344,0.00384344,0.00384344
126,18026.7,0.33193,0.24533,0.84976,0.96874,0.97075,0.98456,0.95024,0.28709,0.153,0.83025,0.00377792,0.00377792,0.00377792
127,18172.3,0.33266,0.24363,0.84951,0.96482,0.97403,0.98528,0.95012,0.28694,0.15375,0.83028,0.00371283,0.00371283,0.00371283
128,18309.3,0.32823,0.24182,0.84962,0.96128,0.97518,0.9856,0.95119,0.28641,0.15348,0.82985,0.00364819,0.00364819,0.00364819
129,18508.2,0.33063,0.24398,0.84884,0.96486,0.97081,0.98515,0.95026,0.28613,0.15308,0.82981,0.00358399,0.00358399,0.00358399
130,18690.5,0.32827,0.23933,0.85065,0.96349,0.97335,0.98543,0.95069,0.28605,0.15368,0.82983,0.00352027,0.00352027,0.00352027
131,18827,0.32772,0.23968,0.84958,0.96527,0.97093,0.98615,0.95098,0.2864,0.15426,0.82992,0.00345704,0.00345704,0.00345704
132,18997.5,0.33111,0.24389,0.85088,0.96757,0.97143,0.98628,0.95087,0.28628,0.15415,0.82979,0.00339432,0.00339432,0.00339432
133,19169,0.32837,0.23899,0.84984,0.97029,0.96925,0.98643,0.95125,0.28611,0.15306,0.82978,0.00333211,0.00333211,0.00333211
134,19306.8,0.32206,0.23548,0.84707,0.96993,0.97035,0.98642,0.95144,0.2859,0.15308,0.82992,0.00327044,0.00327044,0.00327044
135,19457.8,0.32365,0.23687,0.8486,0.96937,0.9719,0.98637,0.95115,0.28609,0.15316,0.83,0.00320931,0.00320931,0.00320931
136,19594.3,0.32267,0.23875,0.84864,0.96593,0.97311,0.9865,0.95168,0.28612,0.15346,0.8301,0.00314876,0.00314876,0.00314876
137,19729,0.32498,0.23737,0.84764,0.96551,0.97269,0.98609,0.95083,0.28612,0.15354,0.83023,0.00308878,0.00308878,0.00308878
138,19865.6,0.3198,0.23701,0.84772,0.96907,0.96888,0.98574,0.95109,0.28588,0.15436,0.83025,0.0030294,0.0030294,0.0030294
139,20004.1,0.31933,0.23201,0.84707,0.96351,0.97238,0.98602,0.9503,0.28548,0.15387,0.83002,0.00297062,0.00297062,0.00297062
140,20140.4,0.32224,0.23432,0.84846,0.96088,0.9749,0.98593,0.9508,0.2853,0.1536,0.8298,0.00291248,0.00291248,0.00291248
141,20271.8,0.32285,0.23633,0.84678,0.96038,0.97529,0.98622,0.95117,0.28534,0.15329,0.82979,0.00285497,0.00285497,0.00285497
142,20408.2,0.31936,0.23608,0.84701,0.97137,0.96525,0.98621,0.95029,0.28544,0.15328,0.82987,0.00279811,0.00279811,0.00279811
143,20550.1,0.31561,0.23006,0.84652,0.97302,0.96463,0.98612,0.94993,0.28552,0.15294,0.82996,0.00274192,0.00274192,0.00274192
144,20686.8,0.31973,0.23361,0.84701,0.9729,0.96302,0.98567,0.94942,0.28538,0.15313,0.82981,0.00268641,0.00268641,0.00268641
145,20826.4,0.31838,0.23313,0.84667,0.97193,0.96356,0.98591,0.95004,0.2852,0.15308,0.82977,0.00263159,0.00263159,0.00263159
146,20962.3,0.31805,0.22657,0.84651,0.97313,0.96254,0.98586,0.95081,0.28507,0.1525,0.82975,0.00257748,0.00257748,0.00257748
147,21102.3,0.31414,0.2268,0.84449,0.96877,0.96648,0.98593,0.95097,0.28508,0.15254,0.82971,0.0025241,0.0025241,0.0025241
148,21238.4,0.31649,0.23188,0.84638,0.9631,0.97274,0.98581,0.95126,0.285,0.15225,0.82969,0.00247144,0.00247144,0.00247144
149,21379.8,0.31487,0.22709,0.84529,0.96476,0.97126,0.98598,0.95079,0.28502,0.152,0.82962,0.00241954,0.00241954,0.00241954
150,21528.6,0.31836,0.22882,0.84653,0.97182,0.96504,0.98601,0.95184,0.28488,0.15182,0.82946,0.00236839,0.00236839,0.00236839
151,21664.8,0.31376,0.23041,0.8446,0.97285,0.96456,0.98613,0.9516,0.28471,0.1517,0.82948,0.00231802,0.00231802,0.00231802
152,21860.5,0.31449,0.22748,0.84645,0.971,0.96421,0.98568,0.95093,0.28458,0.1515,0.82957,0.00226843,0.00226843,0.00226843
153,22041.5,0.31218,0.22548,0.84592,0.96015,0.97487,0.98584,0.9513,0.28441,0.1512,0.8295,0.00221964,0.00221964,0.00221964
154,22234.2,0.31343,0.22771,0.84472,0.95921,0.97621,0.98612,0.95165,0.28432,0.1514,0.82957,0.00217166,0.00217166,0.00217166
155,22371.2,0.31294,0.22413,0.84422,0.96022,0.97519,0.98604,0.95195,0.28426,0.15116,0.82962,0.0021245,0.0021245,0.0021245
156,22571.4,0.31191,0.22508,0.84614,0.96341,0.97157,0.98621,0.9518,0.28427,0.15135,0.82959,0.00207817,0.00207817,0.00207817
157,22735.6,0.31227,0.22476,0.84504,0.96278,0.97294,0.98644,0.95174,0.28428,0.15106,0.82959,0.00203269,0.00203269,0.00203269
158,22870.1,0.30919,0.22248,0.84374,0.96228,0.97262,0.98627,0.95161,0.28424,0.15108,0.82958,0.00198806,0.00198806,0.00198806
159,23042.8,0.30913,0.22384,0.84458,0.95894,0.97536,0.98625,0.95161,0.28422,0.1512,0.82959,0.0019443,0.0019443,0.0019443
160,23178.9,0.30898,0.22112,0.84428,0.97275,0.96359,0.98651,0.95201,0.28433,0.15154,0.82969,0.00190142,0.00190142,0.00190142
161,23316.5,0.30731,0.22323,0.84332,0.9747,0.96227,0.98653,0.95162,0.28434,0.15105,0.82977,0.00185942,0.00185942,0.00185942
162,23452.6,0.30588,0.22027,0.84086,0.97453,0.96353,0.98648,0.95214,0.28425,0.15107,0.82982,0.00181833,0.00181833,0.00181833
163,23590.4,0.30923,0.2214,0.84452,0.97429,0.96337,0.98634,0.95199,0.28426,0.1511,0.82987,0.00177814,0.00177814,0.00177814
164,23723.8,0.30597,0.21856,0.84331,0.97441,0.96267,0.98637,0.95133,0.28416,0.15117,0.82988,0.00173887,0.00173887,0.00173887
165,23861.4,0.30587,0.21542,0.84451,0.97443,0.96304,0.98629,0.95104,0.28414,0.15094,0.82984,0.00170052,0.00170052,0.00170052
166,23989.9,0.30643,0.22029,0.84428,0.97465,0.96311,0.98631,0.95141,0.28418,0.15092,0.82982,0.00166312,0.00166312,0.00166312
167,24127,0.30467,0.21706,0.84172,0.974,0.96368,0.98618,0.9513,0.28424,0.15068,0.8298,0.00162666,0.00162666,0.00162666
168,24258.4,0.30476,0.21825,0.84368,0.97329,0.964,0.98592,0.94989,0.28419,0.15059,0.82981,0.00159116,0.00159116,0.00159116
169,24386.7,0.30653,0.21791,0.84329,0.97282,0.96487,0.98605,0.95053,0.2842,0.15049,0.82982,0.00155662,0.00155662,0.00155662
170,24521.2,0.30338,0.21706,0.84288,0.9721,0.96595,0.986,0.9504,0.28419,0.15059,0.82984,0.00152305,0.00152305,0.00152305
171,24651.4,0.30506,0.21555,0.84503,0.97207,0.966,0.9861,0.9508,0.28403,0.15032,0.82978,0.00149047,0.00149047,0.00149047
172,24788,0.30335,0.21584,0.84287,0.97148,0.96677,0.98609,0.95072,0.28397,0.15025,0.82981,0.00145888,0.00145888,0.00145888
173,24921.9,0.30408,0.2158,0.84136,0.97255,0.96572,0.98592,0.95071,0.28391,0.15048,0.8298,0.00142828,0.00142828,0.00142828
174,25052.1,0.30237,0.21331,0.84249,0.97172,0.96694,0.98571,0.95052,0.28391,0.15048,0.8298,0.00139869,0.00139869,0.00139869
175,25189,0.30266,0.21583,0.84198,0.97162,0.96695,0.98548,0.94967,0.28386,0.15068,0.82977,0.0013701,0.0013701,0.0013701
176,25317.5,0.30123,0.21371,0.84185,0.9716,0.96679,0.98545,0.94919,0.2838,0.15064,0.82976,0.00134254,0.00134254,0.00134254
177,25453.7,0.29995,0.21207,0.84167,0.97194,0.96601,0.98558,0.94932,0.28378,0.15066,0.82976,0.00131601,0.00131601,0.00131601
178,25590.9,0.30313,0.21475,0.84253,0.97342,0.96415,0.98582,0.95006,0.28382,0.15087,0.82975,0.0012905,0.0012905,0.0012905
